product_number,name,L_star,a_star,b_star,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700,KS_400,KS_410,KS_420,KS_430,KS_440,KS_450,KS_460,KS_470,KS_480,KS_490,KS_500,KS_510,KS_520,KS_530,KS_540,KS_550,KS_560,KS_570,KS_580,KS_590,KS_600,KS_610,KS_620,KS_630,KS_640,KS_650,KS_660,KS_670,KS_680,KS_690,KS_700
1450,Alizarin Crimson Hue,27.9999,10.7729,2.8572,5.44,5.17,4.97,4.92,4.9,4.82,4.89,4.82,4.78,4.74,4.58,4.5,4.45,4.43,4.43,4.43,4.54,4.87,5.55,6.57,7.71,8.55,9.05,9.22,9.29,9.38,9.77,10.5,11.59,12.88,14.26,8.2184,8.697,9.0852,9.1872,9.2286,9.3975,9.2494,9.3975,9.4842,9.5722,9.9399,10.1336,10.2582,10.3088,10.3088,10.3088,10.0359,9.2913,8.0368,6.6432,5.5236,4.8907,4.5701,4.4691,4.4286,4.3774,4.1666,3.8144,3.372,2.9464,2.5776
1005,Anthraquinone Blue,24.2254,3.7173,-5.25,6.32,6.78,6.74,6.22,5.65,5.07,4.66,4.41,4.23,4.17,4.05,4.05,4.04,4.01,4.02,4.03,4.05,4.12,4.16,4.18,4.25,4.3,4.37,4.43,4.51,4.56,4.64,4.67,4.79,4.92,5.07,6.943,6.4085,6.4521,7.0697,7.8778,8.8873,9.7529,10.3599,10.8415,11.0113,11.3659,11.3659,11.3964,11.4889,11.4579,11.4271,11.3659,11.1565,11.04,10.9826,10.786,10.6494,10.4635,10.3088,10.109,9.9877,9.7991,9.73,9.4624,9.1872,8.8873
1464,Azurite Hue,31.3563,-4.8022,-15.6931,10.25,10.51,10.58,10.82,11.41,11.97,12.22,12.05,11.77,11.37,10.68,9.82,8.66,7.43,6.42,5.62,5.1,4.83,4.73,4.72,4.72,4.73,4.82,4.94,5.12,5.28,5.38,5.28,5.07,4.94,5.02,3.9293,3.8099,3.7788,3.6752,3.4392,3.237,3.1528,3.2096,3.3069,3.4544,3.735,4.1407,4.817,5.7666,6.8203,7.9249,8.8294,9.3761,9.5945,9.6168,9.6168,9.5945,9.3975,9.1462,8.7912,8.4961,8.3206,8.4961,8.8873,9.1462,8.9853
1007,Bismuth Vanadate Yellow,90.2079,-3.9216,91.2348,5.15,5.17,5.26,5.35,5.5,5.62,6.54,9.27,16.77,28.58,44.63,60.0,72.6,81.26,86.53,89.37,90.62,91.18,91.6,91.78,91.91,92.07,92.15,92.35,92.42,92.7,92.79,92.85,92.8,92.84,92.89,8.7345,8.697,8.532,8.3725,8.1184,7.9249,6.678,4.4401,2.0654,0.8924,0.3435,0.1333,0.0517,0.0216,0.0105,0.0063,0.0049,0.0043,0.0039,0.0037,0.0036,0.0034,0.0033,0.0032,0.0031,0.0029,0.0028,0.0028,0.0028,0.0028,0.0027
1010,Bone Black,24.0311,0.066,-0.3317,4.25,4.2,4.19,4.18,4.2,4.15,4.18,4.14,4.16,4.14,4.11,4.12,4.13,4.11,4.1,4.1,4.1,4.1,4.08,4.09,4.12,4.1,4.11,4.1,4.09,4.1,4.14,4.09,4.09,4.09,4.1,10.786,10.9258,10.9541,10.9826,10.9258,11.0689,10.9826,11.098,11.04,11.098,11.186,11.1565,11.1272,11.186,11.2156,11.2156,11.2156,11.2156,11.2753,11.2454,11.1565,11.2156,11.186,11.2156,11.2454,11.2156,11.098,11.2454,11.2454,11.2454,11.2156
1020,Burnt Sienna,33.7941,17.1569,13.0517,4.61,4.62,4.66,4.71,4.8,4.81,4.87,4.86,4.91,4.99,5.05,5.16,5.27,5.41,5.67,6.09,6.83,7.92,9.34,10.93,12.49,13.89,15.14,16.19,17.09,18.0,18.88,19.68,20.55,21.4,22.32,9.869,9.8456,9.7529,9.6393,9.4407,9.4191,9.2913,9.3124,9.2078,9.045,8.9262,8.7157,8.514,8.2692,7.8467,7.2406,6.3548,5.3527,4.4,3.6292,3.0657,2.6692,2.3782,2.1693,2.0111,1.8678,1.7427,1.6391,1.5358,1.4434,1.3517
1030,Burnt Umber,27.3924,3.2022,3.3147,4.45,4.46,4.5,4.51,4.53,4.57,4.59,4.61,4.61,4.68,4.67,4.75,4.79,4.83,4.93,5.05,5.21,5.4,5.58,5.75,5.95,6.07,6.2,6.33,6.39,6.51,6.62,6.69,6.77,6.89,6.99,10.2582,10.2331,10.1336,10.109,10.0602,9.9638,9.9162,9.869,9.869,9.7072,9.73,9.5501,9.4624,9.3761,9.1666,8.9262,8.623,8.2863,7.9885,7.7244,7.4331,7.2676,7.0955,6.9305,6.8567,6.713,6.586,6.5073,6.4194,6.2913,6.188
1035,Burnt Umber Light,29.2237,6.9523,6.4196,4.44,4.46,4.48,4.48,4.56,4.53,4.64,4.61,4.66,4.73,4.75,4.83,4.92,4.99,5.18,5.41,5.76,6.22,6.7,7.19,7.58,7.9,8.16,8.4,8.61,8.87,9.07,9.31,9.48,9.72,9.96,10.2835,10.2331,10.1831,10.1831,9.9877,10.0602,9.7991,9.869,9.7529,9.5945,9.5501,9.3761,9.1872,9.045,8.6784,8.2692,7.7094,7.0697,6.4962,5.9901,5.6342,5.3686,5.1683,4.9944,4.8503,4.6813,4.558,4.4171,4.3217,4.1926,4.0699
1080,Cad Red Dark,38.3462,43.4472,20.2298,5.09,5.02,4.96,4.97,4.98,4.91,4.98,4.92,4.95,4.97,4.96,4.99,5.03,5.11,5.22,5.3,5.37,5.42,5.47,6.53,12.15,24.29,39.85,53.32,63.33,70.94,76.25,79.86,82.75,84.88,86.41,8.8486,8.9853,9.1054,9.0852,9.0651,9.2078,9.0651,9.1872,9.1258,9.0852,9.1054,9.045,8.9655,8.8103,8.6046,8.4605,8.3378,8.2522,8.1681,6.6896,3.176,1.1799,0.454,0.2043,0.1062,0.0595,0.037,0.0254,0.018,0.0135,0.0107
1090,Cad Red Light,51.5778,59.3564,43.4868,4.87,4.85,4.83,4.83,4.85,4.83,4.88,4.88,4.9,4.95,4.96,5.09,5.28,5.46,5.59,5.68,6.13,9.05,18.79,36.08,54.8,69.34,78.67,83.84,86.46,88.26,89.29,90.07,90.62,91.07,91.48,9.2913,9.3335,9.3761,9.3761,9.3335,9.3761,9.2703,9.2703,9.2286,9.1258,9.1054,8.8486,8.4961,8.1848,7.9725,7.8312,7.1873,4.5701,1.7549,0.5662,0.1864,0.0678,0.0289,0.0156,0.0106,0.0078,0.0064,0.0055,0.0049,0.0044,0.004
1100,Cad Red Medium,42.4416,50.1614,27.6547,4.89,4.86,4.86,4.85,4.91,4.83,4.89,4.89,4.92,4.95,4.93,5.01,5.13,5.26,5.42,5.54,5.61,5.86,7.27,12.01,21.89,36.2,52.52,66.52,76.06,82.0,85.22,87.33,88.75,89.71,90.39,9.2494,9.3124,9.3124,9.3335,9.2078,9.3761,9.2494,9.2494,9.1872,9.1258,9.1666,9.0051,8.7722,8.532,8.2522,8.053,7.9407,7.5617,5.9139,3.2232,1.3936,0.5622,0.2146,0.0843,0.0377,0.0198,0.0128,0.0092,0.0071,0.0059,0.0051
1110,Cad Yellow Dark,79.0252,26.4826,88.1167,5.01,4.99,5.01,4.99,5.07,5.05,5.16,5.18,5.3,5.43,6.22,10.72,22.53,37.16,49.66,61.08,72.03,80.16,85.0,87.71,89.23,90.15,90.73,91.13,91.39,91.66,91.5,91.14,91.11,90.96,90.62,9.0051,9.045,9.0051,9.045,8.8873,8.9262,8.7157,8.6784,8.4605,8.2353,7.0697,3.7178,1.3319,0.5313,0.2551,0.124,0.0543,0.0246,0.0132,0.0086,0.0065,0.0054,0.0047,0.0043,0.0041,0.0038,0.0039,0.0043,0.0043,0.0045,0.0049
1130,Cad Yellow Medium,84.0846,15.446,95.3047,5.05,5.03,5.04,5.07,5.14,5.12,5.25,5.31,5.5,5.55,7.6,17.32,37.13,57.79,72.26,80.49,85.01,87.79,89.55,90.63,91.3,91.73,91.94,92.17,92.23,92.32,91.89,91.28,91.01,90.72,90.18,8.9262,8.9655,8.9458,8.8873,8.7533,8.7912,8.5501,8.4427,8.1184,8.0368,5.6169,1.9734,0.5323,0.1542,0.0532,0.0236,0.0132,0.0085,0.0061,0.0048,0.0041,0.0037,0.0035,0.0033,0.0033,0.0032,0.0036,0.0042,0.0044,0.0047,0.0053
1135,cad yellow Primrose,90.9781,-10.4873,84.4754,4.97,4.95,4.99,5.01,5.12,5.37,7.46,14.73,30.7,46.86,60.87,72.62,80.81,84.61,86.22,87.12,87.63,87.97,88.28,88.49,88.62,88.92,89.57,90.66,91.35,91.83,91.68,91.03,90.19,90.03,89.88,9.0852,9.1258,9.045,9.0051,8.7912,8.3378,5.7397,2.4681,0.7822,0.3013,0.1258,0.0516,0.0228,0.014,0.011,0.0095,0.0087,0.0082,0.0078,0.0075,0.0073,0.0069,0.0061,0.0048,0.0041,0.0036,0.0038,0.0044,0.0053,0.0055,0.0057
1070,Cadmium Orange,63.6474,54.1352,64.0936,4.84,4.83,4.85,4.86,4.88,4.87,4.91,4.92,4.93,5.01,5.09,5.33,5.5,5.58,6.85,12.66,25.77,43.41,60.11,72.37,79.87,84.31,86.92,88.53,89.52,90.39,90.85,91.15,91.35,91.52,91.71,9.3548,9.3761,9.3335,9.3124,9.2703,9.2913,9.2078,9.1872,9.1666,9.0051,8.8486,8.4075,8.1184,7.9885,6.3335,3.0127,1.0691,0.3689,0.1324,0.0527,0.0254,0.0146,0.0098,0.0074,0.0061,0.0051,0.0046,0.0043,0.0041,0.0039,0.0037
1120,Cadmium Yellow Light,88.8915,-2.3459,94.1684,5.07,5.09,5.11,5.14,5.18,5.24,5.45,6.33,10.99,21.04,38.2,56.98,71.37,79.19,83.32,85.9,87.52,88.56,89.28,89.74,90.01,90.28,90.44,90.67,90.77,91.04,90.89,90.34,89.49,89.26,89.17,8.8873,8.8486,8.8103,8.7533,8.6784,8.5682,8.2016,6.9305,3.6045,1.4816,0.4999,0.1624,0.0574,0.0273,0.0167,0.0116,0.0089,0.0074,0.0064,0.0059,0.0055,0.0052,0.0051,0.0048,0.0047,0.0044,0.0046,0.0052,0.0062,0.0065,0.0066
